zone_type,GEOID,zone_SF,existing_FAR,new_FAR,existing_building_SF,max_building_SF,existing_zone_hh,new_zone_hh,existing_zone_population,new_zone_population,increase_population_totract,new_total_tract_population,avg_hhsize_existing,nocar,population,housing_units,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_hh,twoperson_hh,geometry
3,8031001600,"1,508,694",1.5,2.25,2263041,3394561.5,2263.041,3394.5615,4104.688159,6157.032238,2052.344079,14413.34408,1.813793103,459,12361,6815,916,1951,3491,6358,3060,2594,"list(list(c(-105.000024, -104.998355, -104.995506, -104.991971, -104.984805, -104.978523, -104.978415, -104.971915, -104.973347, -104.973343, -104.973338, -104.973319, -104.97334, -104.973925, -104.977027, -104.981854, -104.985476, -104.987383, -104.987397, -104.99169, -104.994272, -104.995989, -104.99983, -105.002911, -105.000024, 39.761391, 39.762093, 39.762989, 39.765542, 39.767446, 39.775124, 39.775306, 39.7703, 39.769187, 39.768163, 39.767919, 39.765764, 39.762046, 39.762034, 39.759603, 39.755866, 
39.753051, 39.75158, 39.748911, 39.752288, 39.754334, 39.755629, 39.758671, 39.760591, 39.761391)))"
3,8031001800,"616,470",1.5,2.25,924705,1387057.5,924.705,1387.0575,1769.130145,2653.695217,884.5650723,4454.565072,1.91318328,433,3570,1866,633,553,599,1785,826,695,"list(list(c(-105.000158, -105.000146, -104.998567, -104.993847, -104.990242, -104.987423, -104.987435, -104.99089, -104.992157, -105.000148, -105.000169, -105.000158, 39.733688, 39.740206, 39.740193, 39.73373, 39.728865, 39.726943, 39.725637, 39.725663, 39.725668, 39.725707, 39.726481, 39.733688)))"
12,8031001800,186730,6,6.9,1120380,1288437,1120.38,1288.437,2143.492283,2465.016125,321.5238424,3891.523842,1.91318328,433,3570,1866,633,553,599,1785,826,695,"list(list(c(-105.000158, -105.000146, -104.998567, -104.993847, -104.990242, -104.987423, -104.987435, -104.99089, -104.992157, -105.000148, -105.000169, -105.000158, 39.733688, 39.740206, 39.740193, 39.73373, 39.728865, 39.726943, 39.725637, 39.725663, 39.725668, 39.725707, 39.726481, 39.733688)))"
,8031001800,,,,2045085,2675494.5,2045.085,2675.4945,3912.622428,5118.711342,1206.088915,8346.088915,1.91318328,433,3570,1866,633,553,599,1785,826,695,"list(list(c(-105.000158, -105.000146, -104.998567, -104.993847, -104.990242, -104.987423, -104.987435, -104.99089, -104.992157, -105.000148, -105.000169, -105.000158, 39.733688, 39.740206, 39.740193, 39.73373, 39.728865, 39.726943, 39.725637, 39.725663, 39.725668, 39.725707, 39.726481, 39.733688)))"
12,8031002100,"219,506",6,6.9,1317036,1514591.4,1317.036,1514.5914,2626.075424,3019.986738,393.9113137,6961.911314,1.993928355,425,6568,3294,489,1025,1602,3116,1303,1132,"list(list(c(-105.015768, -105.00966, -105.009184, -105.007488, -105.006616, -105.005976, -105.006336, -105.003672, -105.001609, -105.000169, -105.000148, -104.992157, -104.99089, -104.987435, -104.987497, -104.987525, -104.987575, -104.987623, -104.987488, -104.987431, -104.992384, -104.992492, -104.997805, -105.000143, -105.001754, -105.003369, -105.006676, -105.009216, -105.012057, -105.01573, -105.015768, 39.725502, 39.725784, 39.725655, 39.725617, 39.725517, 39.725603, 39.725782, 39.725767, 39.725758, 
39.726481, 39.725707, 39.725668, 39.725663, 39.725637, 39.718358, 39.714779, 39.711157, 39.707535, 39.70388, 39.696633, 39.69666, 39.699352, 39.705845, 39.711202, 39.714688, 39.7165, 39.718578, 39.721183, 39.722234, 39.724463, 39.725502)))"
3,8031002402,84769,1.5,2.25,127153.5,190730.25,127.1535,190.73025,270.5337019,405.8005528,135.2668509,2169.266851,2.127615063,183,2034,956,188,251,439,878,279,386,"list(list(c(-104.97812, -104.978151, -104.978118, -104.973359, -104.973357, -104.973339, -104.973383, -104.978177, -104.97812, 39.750735, 39.75324, 39.754571, 39.754547, 39.750723, 39.746975, 39.743778, 39.7475, 39.750735)))"
5,8031002402,74411,2.5,3.75,186027.5,279041.25,186.0275,279.04125,395.7949111,593.6923666,197.8974555,2231.897456,2.127615063,183,2034,956,188,251,439,878,279,386,"list(list(c(-104.97812, -104.978151, -104.978118, -104.973359, -104.973357, -104.973339, -104.973383, -104.978177, -104.97812, 39.750735, 39.75324, 39.754571, 39.754547, 39.750723, 39.746975, 39.743778, 39.7475, 39.750735)))"
,8031002402,,,,313181,469771.5,313.181,469.7715,666.328613,999.4929195,333.1643065,4401.164306,2.127615063,183,2034,956,188,251,439,878,279,386,"list(list(c(-104.97812, -104.978151, -104.978118, -104.973359, -104.973357, -104.973339, -104.973383, -104.978177, -104.97812, 39.750735, 39.75324, 39.754571, 39.754547, 39.750723, 39.746975, 39.743778, 39.7475, 39.750735)))"
3,8031002403,"760,021",1.5,2.25,1140031.5,1710047.25,1140.0315,1710.04725,1846.639007,2769.95851,923.3195035,5452.319503,1.61981402,545,4529,2796,927,635,973,2535,1359,824,"list(list(c(-104.987397, -104.987383, -104.985476, -104.981854, -104.977027, -104.973925, -104.97334, -104.973349, -104.973359, -104.978118, -104.978151, -104.97812, -104.978177, -104.981074, -104.98359, -104.985479, -104.9874, -104.987397, 39.748911, 39.75158, 39.753051, 39.755866, 39.759603, 39.762034, 39.762046, 39.75824, 39.754547, 39.754571, 39.75324, 39.750735, 39.7475, 39.747545, 39.747551, 39.747576, 39.747357, 39.748911)))"
5,8031002602,42244,2.5,3.75,105610,158415,105.61,158.415,166.0407902,249.0611853,83.0203951,2968.020395,1.572207084,273,2885,1835,214,538,1000,1752,975,682,"list(list(c(-104.981074, -104.978177, -104.973383, -104.973387, -104.973412, -104.97991, -104.979892, -104.979884, -104.981074, 39.747545, 39.7475, 39.743778, 39.743248, 39.740029, 39.740021, 39.743263, 39.746178, 39.747545)))"
