GEOID,new_oneperson_hh,new_twoperson_hh,new_total_tract_population,new_total_housing_units,new_hh_income_low,new_hh_income_mid,new_hh_income_high,new_nocar,new_basic,new_retail,new_service,new_total_emp
08001009001,1034.21,1129.86,6223.29,2164.07,464.15,938.65,761.27,371.71,796.9190362,536.4419661,1806.443681,3139.8046833
08005081800,1076.86,1334.22,8295.6,2411.07,296.56,1454.65,659.86,200.56,806.5974071,200.5593553,664.1711983,1671.3279607
08031000402,2957.7,2411.99,14966.63,5369.69,1008.56,1260.69,3100.44,596.28,819.9110348,471.1234835,6603.537445,7894.5719633
08059009851,1321.36,2203.69,8944.59,3525.05,159.35,765.37,2600.33,0,829.818177,131.9656939,2827.197239,3788.9811099
08031000202,1201.78,1106.09,5074.27,2307.87,550.61,787.51,969.75,259.67,852.4672267,40.53335996,471.2003095,1364.20089616
08001009325,1067.41,1927.08,6481.4,2994.49,263.46,1123.09,1607.95,115.17,953.1124932,29.38077969,2706.557425,3689.0506978900003
08031002801,1853.58,900.55,7218.16,2754.13,381.89,982.44,1389.79,207.86,1089.216016,492.9123251,2777.140173,4359.2685141
08001008533,2553.45,2052.56,12194.18,4606.02,297.21,2080.49,2228.31,145.69,1188.306526,94.09323709,851.3920324,2133.79179549
08031001102,1409.34,1122.1,4834.21,2531.44,336.23,685.4,1509.81,147.07,1221.899715,484.5290706,2788.308664,4494.7374496
08031002803,4734.96,2438.87,25113.2,7173.82,854.54,3368.41,2950.87,601.02,1270.982116,120.5674735,4164.60148,5556.1510695
08031002702,7356.22,3257.42,35007.54,10613.64,1596.2,4358.39,4659.05,1644.27,1298.971076,1595.416758,83985.75647,86880.14430399999
08059010308,2451.05,2327.25,11132.19,4778.3,488.37,1282.72,3007.21,61.11,1319.667746,444.9820329,2635.515903,4400.1656819
08031000600,2527.51,2177.31,14416.51,4704.82,1012.26,1405.28,2287.29,453.86,1396.212143,735.2833181,14090.17639,16221.6718511
08059009842,509.56,892.6,3672.99,1402.16,161.66,305,935.49,37.72,1476.524736,439.7241549,542.1109067,2458.3597976
08059010213,1700.45,1888.27,9112.01,3588.72,548.22,1355,1685.49,83.37,2241.527933,113.6869619,1123.606141,3478.8210358999995
08059010406,634.73,715.68,3162.25,1350.41,211.55,693.42,445.43,109.34,2289.678942,329.1276798,1761.543828,4380.3504498
08031002802,4363.94,1175,11476.91,5538.94,847.3,2667.75,2023.88,548.05,2592.198638,627.5551773,6170.959244,9390.7130593
08001008200,610.81,1446.49,8666.76,2057.3,279.4,897.52,880.38,117.3,2626.650347,238.5467701,1060.940055,3926.1371720999996
08031001600,4300.73,3645.79,14413.34,7946.52,1144.86,2438.45,4363.21,535.21,2670.216698,743.9293682,11860.89269,15275.0387562
08001008529,3185.28,3006.16,13063.6,6191.44,672.42,3117.76,2401.25,328.08,3079.051571,1738.655332,5003.678109,9821.385012
08001008308,1159.9,1402.49,7421.73,2562.39,633.8,1296.16,632.44,107.75,3291.684428,568.9817794,1474.359253,5335.0254604
08005082000,3576.25,3451.7,16710.32,7027.95,1115.92,4736.74,1175.28,200.69,3426.884115,265.0628597,18929.2748,22621.2217747
08031015500,1453.97,1215.2,8377.29,2669.17,385.27,1468.12,815.78,271.21,3518.649211,398.249245,2937.673842,6854.572298
08005006855,858.61,2019.27,8263.6,2877.88,149.41,603.43,2125.05,25.62,3837.179745,839.7388908,7701.401929,12378.3205648
08031003800,2976.56,2523.57,21577.05,5500.14,760.41,1338.16,3401.56,549.67,3890.168869,14659.79426,29486.53504,48036.498169
08031001403,922.06,959.27,6361.94,1881.33,273.32,848.37,759.63,131.79,4278.362685,849.7973945,3567.050792,8695.2108715
08031005300,984.06,573,5968.43,1557.06,355.9,636.98,564.18,362.32,4294.028824,1439.059076,16446.94059,22180.028489999997
08031002100,1868.38,1623.18,6961.91,3491.56,547.94,1148.54,1795.08,450.49,4554.70878,1321.787724,4708.405027,10584.901531
