GEOID,nocar,population,housing_units,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_hh,twoperson_hh,geometry
08005007105,10,7006,2214,164,724,1262,2150,300,666,"list(list(c(-104.77247, -104.763038, -104.745854, -104.735396, -104.734969, -104.734834, -104.731955, -104.725637, -104.715945, -104.678305, -104.659953, -104.652803, -104.64293, -104.640723, -104.635347, -104.634448, -104.633384, -104.632424, -104.626065, -104.616507, -104.616197, -104.613603, -104.603078, -104.603288, -104.603378, -104.603775, -104.613231, -104.625327, -104.627612, -104.635405, -104.639282, -104.6429, -104.644608, -104.649828, -104.65248, -104.653883, -104.654709, -104.656813, 
-104.659015, -104.66167, -104.661409, -104.662554, -104.665079, -104.667344, -104.668559, -104.67135, -104.672862, -104.676193, -104.677064, -104.680244, -104.682601, -104.68612, -104.693107, -104.698801, -104.703662, -104.706695, -104.712022, -104.713326, -104.716106, -104.719079, -104.721936, -104.722325, -104.723709, -104.724336, -104.729761, -104.730142, -104.72963, -104.731398, -104.740249, -104.740558, -104.746663, -104.753827, -104.763227, -104.772085, -104.780629, -104.77247, 39.740251, 39.740251, 
39.74024, 39.740265, 39.740302, 39.740321, 39.740822, 39.740267, 39.740271, 39.739995, 39.740477, 39.739778, 39.739782, 39.739886, 39.739631, 39.739594, 39.739547, 39.739501, 39.740061, 39.740007, 39.740004, 39.739982, 39.739887, 39.710872, 39.688452, 39.638228, 39.638288, 39.638355, 39.640555, 39.644021, 39.646725, 39.647641, 39.649594, 39.649881, 39.652409, 39.651642, 39.652299, 39.654412, 39.658756, 39.662237, 39.666169, 39.667349, 39.669968, 39.673603, 39.674919, 39.676411, 39.678485, 39.680826, 
39.68258, 39.685619, 39.689561, 39.692757, 39.696516, 39.700251, 39.705772, 39.70673, 39.706372, 39.706604, 39.707418, 39.708681, 39.710728, 39.71107, 39.712401, 39.712962, 39.714721, 39.715321, 39.718276, 39.72101, 39.721664, 39.722255, 39.723371, 39.727087, 39.732987, 39.734713, 39.74026, 39.740251)))"
08005083800,37,2892,1158,83,493,512,1088,287,403,"list(list(c(-104.819977, -104.816758, -104.814622, -104.80995, -104.810021, -104.810148, -104.810196, -104.810235, -104.81027, -104.814866, -104.819657, -104.819617, -104.819328, -104.818624, -104.819977, 39.653136, 39.653143, 39.653151, 39.65315, 39.650986, 39.644419, 39.642136, 39.640225, 39.638491, 39.63851, 39.638531, 39.641778, 39.649627, 39.65054, 39.653136)))"
08005084300,27,3740,1169,65,416,688,1169,224,275,"list(list(c(-104.772456, -104.767882, -104.763718, -104.755609, -104.757129, -104.759391, -104.76043, -104.759819, -104.763564, -104.765841, -104.769534, -104.772512, -104.772456, 39.653109, 39.653075, 39.653049, 39.653046, 39.649631, 39.648239, 39.64674, 39.645638, 39.645062, 39.642226, 39.643251, 39.647056, 39.653109)))"
08005085500,10,5535,1804,53,401,1350,1804,173,731,"list(list(c(-104.791661, -104.791617, -104.791531, -104.788079, -104.786395, -104.786049, -104.777483, -104.773157, -104.773516, -104.772864, -104.772966, -104.776864, -104.779413, -104.779866, -104.791719, -104.791661, 39.614886, 39.618162, 39.626099, 39.624752, 39.624149, 39.623966, 39.620507, 39.618793, 39.617988, 39.614968, 39.60962, 39.60955, 39.610209, 39.610274, 39.610638, 39.614886)))"
08001008308,82,5648,1950,466,953,465,1884,459,555,"list(list(c(-104.828323, -104.828029, -104.828131, -104.828229, -104.809879, -104.81012, -104.810127, -104.810127, -104.819416, -104.82032, -104.82546, -104.825659, -104.826697, -104.825852, -104.819431, -104.819333, -104.827927, -104.82811, -104.828323, 39.769156, 39.771494, 39.772371, 39.773174, 39.773187, 39.747387, 39.745052, 39.740141, 39.740266, 39.740297, 39.74029, 39.748305, 39.750802, 39.75112, 39.75111, 39.761912, 39.764201, 39.767655, 39.769156)))"
08005084600,32,5404,1973,154,925,875,1954,456,641,"list(list(c(-104.822661, -104.819657, -104.814866, -104.81027, -104.799191, -104.797401, -104.791471, -104.791509, -104.791531, -104.794783, -104.798173, -104.80071, -104.803819, -104.810302, -104.818968, -104.819756, -104.822661, 39.638545, 39.638531, 39.63851, 39.638491, 39.638495, 39.638496, 39.638498, 39.630657, 39.626099, 39.627227, 39.628405, 39.629286, 39.630366, 39.6326, 39.635604, 39.635953, 39.638545)))"
08005081700,12,2991,985,61,125,799,985,105,353,"list(list(c(-104.810349, -104.810309, -104.810302, -104.803819, -104.80071, -104.798173, -104.794783, -104.791531, -104.791617, -104.796139, -104.798768, -104.801161, -104.803399, -104.805285, -104.810191, -104.810377, -104.810349, 39.623874, 39.631359, 39.6326, 39.630366, 39.629286, 39.628405, 39.627227, 39.626099, 39.618162, 39.617552, 39.618696, 39.61974, 39.619641, 39.61952, 39.620351, 39.620354, 39.623874)))"
08005081900,354,6903,2482,788,1074,511,2373,551,746,"list(list(c(-104.810386, -104.809987, -104.810007, -104.810022, -104.800625, -104.791219, -104.791202, -104.791164, -104.800569, -104.810293, -104.810386, 39.725611, 39.728498, 39.733271, 39.740141, 39.740281, 39.740269, 39.732891, 39.72563, 39.725621, 39.725611, 39.725611)))"
08005084700,19,4292,1665,81,592,960,1633,424,516,"list(list(c(-104.810235, -104.810196, -104.810148, -104.810021, -104.80995, -104.799506, -104.797559, -104.798324, -104.798233, -104.798916, -104.797437, -104.795539, -104.797401, -104.799191, -104.81027, -104.810235, 39.640225, 39.642136, 39.644419, 39.650986, 39.65315, 39.653144, 39.653121, 39.651242, 39.649435, 39.645497, 39.644019, 39.642684, 39.638496, 39.638495, 39.638491, 39.640225)))"
08005080100,409,4051,1949,597,800,480,1877,829,616,"list(list(c(-104.870648, -104.868932, -104.865967, -104.865967, -104.85514, -104.850169, -104.847193, -104.847152, -104.854207, -104.865962, -104.865964, -104.870662, -104.870648, 39.700535, 39.702987, 39.704318, 39.703807, 39.703841, 39.703117, 39.703331, 39.696603, 39.696587, 39.696559, 39.699086, 39.698475, 39.700535)))"
08005007500,32,2559,788,93,351,328,772,145,235,"list(list(c(-104.847152, -104.847094, -104.837642, -104.828239, -104.828244, -104.831032, -104.835282, -104.837858, -104.844286, -104.847185, -104.847152, 39.733002, 39.736135, 39.736108, 39.736091, 39.734362, 39.734209, 39.732354, 39.731189, 39.728341, 39.72892, 39.733002)))"
08001008353,17,8538,2742,204,1105,1433,2742,616,806,"list(list(c(-104.772418, -104.772264, -104.772166, -104.76456, -104.764576, -104.760799, -104.753351, -104.735816, -104.734601, -104.734601, -104.734601, -104.734581, -104.734534, -104.734519, -104.734399, -104.762606, -104.762834, -104.762658, -104.762901, -104.76247, -104.753084, -104.716084, -104.666277, -104.666196, -104.659123, -104.655455, -104.655511, -104.640346, -104.625566, -104.625022, -104.625464, -104.626606, -104.627964, -104.629463, -104.629775, -104.630954, -104.629017, -104.629917, 
-104.628771, -104.628766, -104.626597, -104.625055, -104.627032, -104.625749, -104.624585, -104.623243, -104.622099, -104.622127, -104.623138, -104.622967, -104.62343, -104.622925, -104.62091, -104.617266, -104.616102, -104.611874, -104.609145, -104.607733, -104.605892, -104.603899, -104.601766, -104.597812, -104.59595, -104.594435, -104.591712, -104.590813, -104.588359, -104.587674, -104.586067, -104.584002, -104.583619, -104.582613, -104.582488, -104.602222, -104.603078, -104.613603, -104.616197, 
-104.616507, -104.626065, -104.632424, -104.633384, -104.634448, -104.635347, -104.640723, -104.64293, -104.652803, -104.659953, -104.678305, -104.715945, -104.725637, -104.731955, -104.734834, -104.734969, -104.735396, -104.745854, -104.763038, -104.77247, -104.772418, 39.747401, 39.753859, 39.771466, 39.771598, 39.769391, 39.769487, 39.769487, 39.769412, 39.769181, 39.769211, 39.769268, 39.774838, 39.78173, 39.782949, 39.798442, 39.798433, 39.799878, 39.805574, 39.813038, 39.82298, 39.823048, 39.823207, 
39.82285, 39.814005, 39.814033, 39.814048, 39.82247, 39.822553, 39.82249, 39.820605, 39.815394, 39.813527, 39.81244, 39.810295, 39.806809, 39.804466, 39.803688, 39.802282, 39.800636, 39.798334, 39.797802, 39.796561, 39.794052, 39.791447, 39.790784, 39.791697, 39.791714, 39.789729, 39.788225, 39.785586, 39.783731, 39.783258, 39.782337, 39.782537, 39.781382, 39.77876, 39.777516, 39.775411, 39.769153, 39.76576, 39.759994, 39.756258, 39.754163, 39.752446, 39.750802, 39.749905, 39.746508, 39.745761, 39.744889, 
39.743224, 39.742333, 39.740085, 39.739636, 39.739878, 39.739887, 39.739982, 39.740004, 39.740007, 39.740061, 39.739501, 39.739547, 39.739594, 39.739631, 39.739886, 39.739782, 39.739778, 39.740477, 39.739995, 39.740271, 39.740267, 39.740822, 39.740321, 39.740302, 39.740265, 39.74024, 39.740251, 39.740251, 39.747401)))"
