GEOID,new_basic,new_retail,new_service,new_oneperson_hh,new_twoperson_hh,new_total_tract_population,new_total_housing_units,new_hh_income_low,new_hh_income_mid,new_hh_income_high,new_nocar,geometry
08001009103,57.43326268,16.02788726,88.15337993,684.47,991.78,5923.64,1676.25,239.46,1000.2,436.58,44.08,"list(list(c(-104.940234, -104.938037, -104.931315, -104.931268, -104.931305, -104.93131, -104.931332, -104.931334, -104.931353, -104.931355, -104.931354, -104.939437, -104.940161, -104.940165, -104.938338, -104.928025, -104.927601, -104.917314, -104.912896, -104.912709, -104.908207, -104.903092, -104.902238, -104.901559, -104.902078, -104.902496, -104.90306, -104.903311, -104.903327, -104.903889, -104.904895, -104.90711, -104.907867, -104.910368, -104.912496, -104.913508, -104.914512, -104.916115, 
-104.919218, -104.920305, -104.922001, -104.927748, -104.928581, -104.928809, -104.927905, -104.929547, -104.929719, -104.930213, -104.930583, -104.93096, -104.93154, -104.934666, -104.935385, -104.935942, -104.936198, -104.936662, -104.937165, -104.938009, -104.940259, -104.940234, 39.858659, 39.85876, 39.867274, 39.870635, 39.873732, 39.874164, 39.875984, 39.876119, 39.877694, 39.877821, 39.877908, 39.877587, 39.87738, 39.884978, 39.884922, 39.885178, 39.885183, 39.885242, 39.885239, 39.885239, 
39.885239, 39.88524, 39.885241, 39.883538, 39.881654, 39.881069, 39.881078, 39.881077, 39.879773, 39.878075, 39.876202, 39.874484, 39.874357, 39.874375, 39.874403, 39.874236, 39.873629, 39.872098, 39.870449, 39.86866, 39.866048, 39.864939, 39.864223, 39.863395, 39.860181, 39.858029, 39.85785, 39.857645, 39.857589, 39.857594, 39.857749, 39.858106, 39.858073, 39.858, 39.857912, 39.857667, 39.857475, 39.856089, 39.855951, 39.858659)))"
08005083500,58.33026157,522.9609658,925.2386318,1887.98,2520.98,12995.58,4408.96,582.63,1847.05,1979.28,146.83,"list(list(c(-104.791018, -104.791006, -104.78737, -104.784344, -104.781557, -104.778875, -104.772445, -104.772456, -104.772469, -104.772473, -104.775219, -104.775643, -104.777344, -104.778672, -104.779871, -104.785176, -104.791036, -104.791018, 39.673665, 39.677832, 39.677319, 39.678441, 39.678432, 39.678619, 39.680743, 39.67723, 39.670618, 39.669017, 39.669151, 39.669546, 39.668791, 39.667954, 39.667447, 39.667523, 39.667559, 39.673665)))"
08031002402,58.42247788,354.8624582,917.4492822,466.79,645.8,4401.16,1112.59,238.23,318.06,556.3,212.97,"list(list(c(-104.97812, -104.978151, -104.978118, -104.973359, -104.973357, -104.973339, -104.973383, -104.978177, -104.97812, 39.750735, 39.75324, 39.754571, 39.754547, 39.750723, 39.746975, 39.743778, 39.7475, 39.750735)))"
08059009835,59.71368815,19.90456272,137.9101845,650.68,1349.73,5315.94,2000.41,133.64,460.65,1406.12,18.48,"list(list(c(-105.110369, -105.109678, -105.108882, -105.108743, -105.108589, -105.108423, -105.108153, -105.107719, -105.107731, -105.105307, -105.10059, -105.100595, -105.100601, -105.096927, -105.092466, -105.091902, -105.092175, -105.089506, -105.086631, -105.091324, -105.104379, -105.108166, -105.110089, -105.110043, -105.110048, -105.110369, 39.853536, 39.85417, 39.856112, 39.85622, 39.856319, 39.856404, 39.856507, 39.856596, 39.856395, 39.856421, 39.856386, 39.852938, 39.850198, 39.849321, 
39.849073, 39.848676, 39.848219, 39.844039, 39.841785, 39.841764, 39.841907, 39.84192, 39.841972, 39.851717, 39.853038, 39.853536)))"
08031004005,62.84970597,273.5810731,3730.314901,1663.2,1491.6,12196.54,3154.8,521.08,1451.85,1181.87,563.42,"list(list(c(-104.959447, -104.950487, -104.947859, -104.94042, -104.940748, -104.940924, -104.950828, -104.956583, -104.959393, -104.959447, 39.684727, 39.68468, 39.684504, 39.682897, 39.678414, 39.678378, 39.678424, 39.678472, 39.678425, 39.684727)))"
08005084200,63.65073138,145.1236676,743.4405426,977.28,2431.85,9573.07,3409.13,166.62,1631.84,1610.68,43.28,"list(list(c(-104.791361, -104.791325, -104.788143, -104.787784, -104.782934, -104.779791, -104.779283, -104.777159, -104.774319, -104.772512, -104.769534, -104.765841, -104.763974, -104.76322, -104.779016, -104.782269, -104.784639, -104.791471, -104.791361, 39.644256, 39.64597, 39.645868, 39.645793, 39.642831, 39.642778, 39.64284, 39.643358, 39.646541, 39.647056, 39.643251, 39.642226, 39.64132, 39.638506, 39.638515, 39.63851, 39.638507, 39.638498, 39.644256)))"
08005082900,65.03301042,3.612945024,37.93592275,1144.14,2035.25,8839.07,3179.39,208.89,1247.61,1722.89,16.26,"list(list(c(-104.772352, -104.772351, -104.771073, -104.769973, -104.769974, -104.767733, -104.753726, -104.753646, -104.762977, -104.762977, -104.764935, -104.772362, -104.772352, 39.693053, 39.696567, 39.696562, 39.696558, 39.696676, 39.696551, 39.696495, 39.681997, 39.682027, 39.682145, 39.682031, 39.682047, 39.693053)))"
08001009407,65.86425287,50.23544711,2272.874896,1076.27,925.33,5730.19,2001.6,301.98,939.62,760,42.42,"list(list(c(-105.053284, -105.053191, -105.041117, -105.034436, -105.026954, -105.026335, -105.025008, -105.024982, -105.024918, -105.026352, -105.02874, -105.034369, -105.037624, -105.04057, -105.048816, -105.049895, -105.050556, -105.053263, -105.053284, 39.860436, 39.86362, 39.863498, 39.863487, 39.863485, 39.86349, 39.863492, 39.859889, 39.856274, 39.856276, 39.856273, 39.856263, 39.856298, 39.856313, 39.856363, 39.856379, 39.856419, 39.859948, 39.860436)))"
08005084700,66.4639329,79.75671948,377.1828192,1247.9,1518.67,7131.58,2766.56,137.23,1002.94,1626.39,31.57,"list(list(c(-104.810235, -104.810196, -104.810148, -104.810021, -104.80995, -104.799506, -104.797559, -104.798324, -104.798233, -104.798916, -104.797437, -104.795539, -104.797401, -104.799191, -104.81027, -104.810235, 39.640225, 39.642136, 39.644419, 39.650986, 39.65315, 39.653144, 39.653121, 39.651242, 39.649435, 39.645497, 39.644019, 39.642684, 39.638496, 39.638495, 39.638491, 39.640225)))"
08031004003,66.93273891,1382.579388,1610.56903,1152.07,1190.61,8820.48,2342.68,334.99,726.57,1281.12,192.13,"list(list(c(-104.940686, -104.94068, -104.94068, -104.938145, -104.936789, -104.931622, -104.930436, -104.926275, -104.925662, -104.923765, -104.918448, -104.920458, -104.931703, -104.940683, -104.940686, 39.66346, 39.66756, 39.668329, 39.668072, 39.667548, 39.667473, 39.667471, 39.667471, 39.667486, 39.66461, 39.653079, 39.65309, 39.653044, 39.653013, 39.66346)))"
