GEOID,nocar,population,housing_units,hh_income_low,hh_income_mid,hh_income_high,hh_total,oneperson_hh,twoperson_hh,total_emp,basic_emp,retail_emp,service_emp
08035013910,0,7582,2515,13,493,1908,2414,199,765,273,90,4,179
08059009806,22,3867,1683,82,450,1120,1652,517,647,3335,241,4,3090
08059009815,0,5395,1921,59,390,1441,1890,280,709,427,131,10,286
08001009104,35,6355,2035,262,787,934,1983,353,638,210,141,11,58
08059011710,70,3889,1918,284,701,800,1785,622,751,179,44,22,113
08001009202,36,4554,1524,163,781,466,1410,250,399,1716,179,9,1528
08001009206,11,2340,848,115,299,434,848,250,281,466,21,154,291
08059012027,17,3122,1267,45,239,912,1196,228,604,626,159,20,447
08059009835,13,3739,1407,94,324,989,1407,296,614,153,42,14,97
08031011903,39,2496,941,103,372,466,941,193,399,277,44,59,174
08001008540,38,8029,2702,25,472,2082,2579,402,640,878,108,362,408
08035014005,28,5008,1805,70,463,1241,1774,300,510,387,34,0,353
08005086400,5,1988,747,10,64,636,710,99,326,256,112,85,59
08031000201,262,3820,1763,407,574,682,1663,658,612,1985,1458,164,363
08059010402,140,5411,3032,474,1488,825,2787,1276,957,5171,2021,641,2509
08019014800,75,1685,864,251,296,238,785,275,313,934,79,133,722
08031005503,174,5025,1873,303,496,1015,1814,395,839,344,43,4,297
08014030200,11,2052,922,68,345,493,906,233,438,2946,1191,416,1339
08005007105,10,7006,2214,164,724,1262,2150,300,666,484,307,41,136
08031004106,63,13570,3906,155,525,3183,3863,662,795,15334,10735,736,3863
08031004107,168,13352,5281,422,1177,3559,5158,1456,1391,8758,1993,2244,4521
08005005634,56,3309,1721,261,632,806,1699,699,734,8127,5630,357,2140
08059011727,17,3538,1538,73,488,977,1538,382,709,956,150,319,487
08059060300,6,4801,1673,60,399,1214,1673,245,595,352,49,146,157
08035014125,64,5123,2293,128,544,1502,2174,671,844,7358,53,604,6701
08059009827,107,6218,2513,323,983,1159,2465,605,931,3013,197,661,2155
08031006901,339,5827,2990,577,1278,874,2729,1266,861,2895,511,144,2240
08001008505,31,7266,2356,271,929,1077,2277,557,620,729,220,232,277
08001008506,386,6775,2764,512,1451,754,2717,1054,695,6901,83,432,6386
08031003300,51,3215,1522,175,319,954,1448,469,605,757,127,2,628
08005087200,224,4142,2227,424,713,857,1994,804,733,1549,436,253,860
08031012010,32,5322,2591,164,1171,1237,2572,1019,933,1906,156,978,772
08059015900,46,3686,1483,153,620,597,1370,322,558,354,72,3,279
08031004104,108,4758,1975,138,541,1251,1930,511,741,684,338,7,339
08031002702,688,6495,4441,653,1783,1906,4342,2859,1266,16119,241,296,15582
08005005952,132,3758,2034,249,672,837,1758,742,530,458,28,91,339
08005083800,37,2892,1158,83,493,512,1088,287,403,286,92,22,172
08035014131,322,5134,2818,314,944,1465,2723,1181,998,11670,2783,1527,7360
08035014001,19,8007,3380,313,959,2051,3323,1089,1015,12057,5940,388,5729
08005006705,12,2034,679,14,51,596,661,8,308,562,22,5,535
